timestamp,message
1677726348932,bash: cannot set terminal process group (-1): Inappropriate ioctl for device
1677726348932,bash: no job control in this shell
1677726348932,"2023-03-02 03:05:45,224 sagemaker-training-toolkit INFO     Imported framework sagemaker_pytorch_container.training"
1677726348932,"2023-03-02 03:05:45,228 sagemaker-training-toolkit INFO     No GPUs detected (normal if no gpus installed)"
1677726348932,"2023-03-02 03:05:45,228 sagemaker-training-toolkit INFO     Failed to parse hyperparameter _tuning_objective_metric value average test loss to Json."
1677726348932,Returning the value itself
1677726348932,"2023-03-02 03:05:45,237 sagemaker_pytorch_container.training INFO     Block until all host DNS lookups succeed."
1677726348932,"2023-03-02 03:05:45,241 sagemaker_pytorch_container.training INFO     Invoking user training script."
1677726348932,"2023-03-02 03:05:45,500 sagemaker-training-toolkit INFO     No GPUs detected (normal if no gpus installed)"
1677726348932,"2023-03-02 03:05:45,501 sagemaker-training-toolkit INFO     Failed to parse hyperparameter _tuning_objective_metric value average test loss to Json."
1677726348932,Returning the value itself
1677726348932,"2023-03-02 03:05:45,515 sagemaker-training-toolkit INFO     No GPUs detected (normal if no gpus installed)"
1677726348932,"2023-03-02 03:05:45,516 sagemaker-training-toolkit INFO     Failed to parse hyperparameter _tuning_objective_metric value average test loss to Json."
1677726348932,Returning the value itself
1677726348932,"2023-03-02 03:05:45,527 sagemaker-training-toolkit INFO     No GPUs detected (normal if no gpus installed)"
1677726348932,"2023-03-02 03:05:45,528 sagemaker-training-toolkit INFO     Failed to parse hyperparameter _tuning_objective_metric value average test loss to Json."
1677726348932,Returning the value itself
1677726348933,"2023-03-02 03:05:45,536 sagemaker-training-toolkit INFO     Invoking user script"
1677726348933,Training Env:
1677726348934,"{
    ""additional_framework_parameters"": {
        ""sagemaker_estimator_class_name"": ""PyTorch"",
        ""sagemaker_estimator_module"": ""sagemaker.pytorch.estimator""
    },
    ""channel_input_dirs"": {
        ""test"": ""/opt/ml/input/data/test"",
        ""training"": ""/opt/ml/input/data/training"",
        ""validation"": ""/opt/ml/input/data/validation""
    },
    ""current_host"": ""algo-1"",
    ""framework_module"": ""sagemaker_pytorch_container.training:main"",
    ""hosts"": [
        ""algo-1""
    ],
    ""hyperparameters"": {
        ""batch-size"": ""64"",
        ""lr"": 0.0027988564042975396
    },
    ""input_config_dir"": ""/opt/ml/input/config"",
    ""input_data_config"": {
        ""test"": {
            ""TrainingInputMode"": ""File"",
            ""S3DistributionType"": ""FullyReplicated"",
            ""RecordWrapperType"": ""None""
        },
        ""training"": {
            ""TrainingInputMode"": ""File"",
            ""S3DistributionType"": ""FullyReplicated"",
            ""RecordWrapperType"": ""None""
        },
        ""validation"": {
            ""TrainingInputMode"": ""File"",
            ""S3DistributionType"": ""FullyReplicated"",
            ""RecordWrapperType"": ""None""
        }
    },
    ""input_dir"": ""/opt/ml/input"",
    ""is_master"": true,
    ""job_name"": ""pytorch-training-230302-0302-002-1a4108cf"",
    ""log_level"": 20,
    ""master_hostname"": ""algo-1"",
    ""model_dir"": ""/opt/ml/model"",
    ""module_dir"": ""s3://sagemaker-us-east-1-996862753977/pytorch-training-2023-03-02-03-02-28-298/source/sourcedir.tar.gz"",
    ""module_name"": ""hpo"",
    ""network_interface_name"": ""eth0"",
    ""num_cpus"": 2,
    ""num_gpus"": 0,
    ""output_data_dir"": ""/opt/ml/output/data"",
    ""output_dir"": ""/opt/ml/output"",
    ""output_intermediate_dir"": ""/opt/ml/output/intermediate"",
    ""resource_config"": {
        ""current_host"": ""algo-1"",
        ""current_instance_type"": ""ml.m5.large"",
        ""current_group_name"": ""homogeneousCluster"",
        ""hosts"": [
            ""algo-1""
        ],
        ""instance_groups"": [
            {
                ""instance_group_name"": ""homogeneousCluster"",
                ""instance_type"": ""ml.m5.large"",
                ""hosts"": [
                    ""algo-1""
                ]
            }
        ],
        ""network_interface_name"": ""eth0""
    },
    ""user_entry_point"": ""hpo.py"""
1677726348934,}
1677726348934,Environment variables:
1677726348934,"SM_HOSTS=[""algo-1""]"
1677726348934,SM_NETWORK_INTERFACE_NAME=eth0
1677726348934,"SM_HPS={""batch-size"":""64"",""lr"":0.0027988564042975396}"
1677726348934,SM_USER_ENTRY_POINT=hpo.py
1677726348934,"SM_FRAMEWORK_PARAMS={""sagemaker_estimator_class_name"":""PyTorch"",""sagemaker_estimator_module"":""sagemaker.pytorch.estimator""}"
1677726348934,"SM_RESOURCE_CONFIG={""current_group_name"":""homogeneousCluster"",""current_host"":""algo-1"",""current_instance_type"":""ml.m5.large"",""hosts"":[""algo-1""],""instance_groups"":[{""hosts"":[""algo-1""],""instance_group_name"":""homogeneousCluster"",""instance_type"":""ml.m5.large""}],""network_interface_name"":""eth0""}"
1677726348934,"SM_INPUT_DATA_CONFIG={""test"":{""RecordWrapperType"":""None"",""S3DistributionType"":""FullyReplicated"",""TrainingInputMode"":""File""},""training"":{""RecordWrapperType"":""None"",""S3DistributionType"":""FullyReplicated"",""TrainingInputMode"":""File""},""validation"":{""RecordWrapperType"":""None"",""S3DistributionType"":""FullyReplicated"",""TrainingInputMode"":""File""}}"
1677726348934,SM_OUTPUT_DATA_DIR=/opt/ml/output/data
1677726348934,"SM_CHANNELS=[""test"",""training"",""validation""]"
1677726348934,SM_CURRENT_HOST=algo-1
1677726348934,SM_MODULE_NAME=hpo
1677726348934,SM_LOG_LEVEL=20
1677726348935,SM_FRAMEWORK_MODULE=sagemaker_pytorch_container.training:main
1677726348935,SM_INPUT_DIR=/opt/ml/input
1677726348935,SM_INPUT_CONFIG_DIR=/opt/ml/input/config
